Crowe, Russell 
Jackson, Glenda 
Shearer, Norma 
Woodward, Joanne 
Mirren, Helen 
Carney, Art 
Keaton, Diane 
Thompson, Emma 
Brando, Marlon 
Bridges, Jeff 
Day-Lewis, Daniel 
Leigh, Vivien 
Penn, Sean 
Fonda, Henry 
MacLaine, Shirley 
Hackman, Gene 
Duvall, Robert 
Gable, Clark 
Tracy, Spencer 
Kelly, Grace 
Bullock, Sandra 
Crawford, Broderick 
Pacino, Al 
Murray Abraham, F. 
Barrymore, Lionel 
Minnelli, Liza 
Garson, Greer 
Loren, Sophia 
Rainer, Luise 
Sarandon, Susan 
Marvin, Lee 
Booth, Shirley 
Hepburn, Audrey 
Bogart, Humphrey 
Milland, Ray 
Heston, Charlton 
Davis, Bette 
Page, Geraldine 
Wyman, Jane 
Hunter, Holly 
Andrews, Julie 
Magnani, Anna 
Colman, Ronald 
Cooper, Gary 
Peck, Gregory 
Smith, Maggie 
Arliss, George 
Holliday, Judy 
De Havilland, Olivia 
Witherspoon, Reese 
De Niro, Robert 
Seymour Hoffman, Philip 
McLaglen, Victor 
McDormand, Frances 
Dunaway, Faye 
Field, Sally 
Muni, Paul 
Neal, Patricia 
Bergman, Ingrid 
Hopkins, Anthony 
Hurt, William 
Donat, Robert 
Berry, Halle 
Burstyn, Ellen 
Crosby, Bing 
Kidman, Nicole 
Jones, Jennifer 
Hanks, Tom 
Streep, Meryl 
Pickford, Mary 
Rush, Geoffrey 
Lukas, Paul 
Scofield, Paul 
Olivier, Laurence 
Cagney, James 
Colbert, Claudette 
Kingsley, Ben 
Hayes, Helen 
Benigni, Roberto 
Swank, Hilary 
Roberts, Julia 
Robertson, Cliff 
Lancaster, Burt 
Dreyfuss, Richard 
Gaynor, Janet 
Guinness, Alec 
Wayne, John 
Niven, David 
Hoffman, Dustin 
Young, Loretta 
Foxx, Jamie 
Hayward, Susan 
Cotillard, Marion 
Spacey, Kevin 
Fletcher, Louise 
Holden, William 
Taylor, Elizabeth 
Steiger, Rod 
Poitier, Sidney 
Beery, Wallace 
Whitaker, Forest 
Finch, Peter 
Brynner, Yul 
Cage, Nicolas 
Signoret, Simone 
Douglas, Michael 
Rogers, Ginger 
Crawford, Joan 
Newman, Paul 
Paltrow, Gwyneth 
Harrison, Rex 
Hepburn, Katharine 
March, Fredric 
Christie, Julie 
Dressler, Marie 
Lange, Jessica 
Theron, Charlize 
Lemmon, Jack 
Matlin, Marlee 
Stewart, James 
Winslet, Kate 
Hunt, Helen 
Laughton, Charles 
Bancroft, Anne 
Fontaine, Joan 
Schell, Maximilian 
Borgnine, Ernest 
C. Scott, George 
Foster, Jodie 
Baxter, Warner 
Washington, Denzel 
Jannings, Emil 
Streisand, Barbra 
Fonda, Jane 
Nicholson, Jack 
Bates, Kathy 
