Wayne, John 
Gaynor, Janet 
Thompson, Emma 
Swank, Hilary 
Marvin, Lee 
Beery, Wallace 
Berry, Halle 
Dressler, Marie 
Penn, Sean 
Loren, Sophia 
Colbert, Claudette 
Laughton, Charles 
Niven, David 
Burstyn, Ellen 
Whitaker, Forest 
Sarandon, Susan 
Booth, Shirley 
Crosby, Bing 
Fontaine, Joan 
Hurt, William 
Smith, Maggie 
Wyman, Jane 
McLaglen, Victor 
Paltrow, Gwyneth 
Young, Loretta 
Barrymore, Lionel 
Field, Sally 
Woodward, Joanne 
Lukas, Paul 
Duvall, Robert 
Poitier, Sidney 
Milland, Ray 
Cage, Nicolas 
Jannings, Emil 
Olivier, Laurence 
Scofield, Paul 
Benigni, Roberto 
Winslet, Kate 
Pickford, Mary 
Hayward, Susan 
Streisand, Barbra 
Kidman, Nicole 
Neal, Patricia 
Page, Geraldine 
Christie, Julie 
Hepburn, Katharine 
Spacek, Sissy 
Theron, Charlize 
Baxter, Warner 
Bullock, Sandra 
Kingsley, Ben 
Crawford, Joan 
Muni, Paul 
Foster, Jodie 
Garson, Greer 
Stewart, James 
Washington, Denzel 
Gable, Clark 
Peck, Gregory 
Robertson, Cliff 
Davis, Bette 
Roberts, Julia 
Bergman, Ingrid 
Brynner, Yul 
Spacey, Kevin 
Murray Abraham, F. 
Crowe, Russell 
Arliss, George 
Foxx, Jamie 
Brody, Adrien 
Holliday, Judy 
Donat, Robert 
Jones, Jennifer 
Seymour Hoffman, Philip 
Colman, Ronald 
Streep, Meryl 
Magnani, Anna 
Nicholson, Jack 
C. Scott, George 
Crawford, Broderick 
Cooper, Gary 
Steiger, Rod 
Fletcher, Louise 
Cagney, James 
Dreyfuss, Richard 
Bates, Kathy 
Irons, Jeremy 
Bridges, Jeff 
De Niro, Robert 
Voight, Jon 
Hayes, Helen 
March, Fredric 
Keaton, Diane 
Lancaster, Burt 
Cotillard, Marion 
Shearer, Norma 
Lange, Jessica 
Andrews, Julie 
Carney, Art 
Signoret, Simone 
Borgnine, Ernest 
Kelly, Grace 
Hoffman, Dustin 
Minnelli, Liza 
Leigh, Vivien 
Hepburn, Audrey 
Bogart, Humphrey 
Bancroft, Anne 
Hanks, Tom 
Harrison, Rex 
Rogers, Ginger 
Day-Lewis, Daniel 
Dunaway, Faye 
Fonda, Jane 
McDormand, Frances 
Matlin, Marlee 
Holden, William 
Hunt, Helen 
Brando, Marlon 
Heston, Charlton 
Fonda, Henry 
MacLaine, Shirley 
Rainer, Luise 
Taylor, Elizabeth 
Jackson, Glenda 
Mirren, Helen 
Pacino, Al 
De Havilland, Olivia 
Hackman, Gene 
Witherspoon, Reese 
Schell, Maximilian 
Finch, Peter 
Guinness, Alec 
Rush, Geoffrey 
Douglas, Michael 
Newman, Paul 
Hopkins, Anthony 
Lemmon, Jack 
Tracy, Spencer 
Hunter, Holly 
